rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-001,A1,1,ALL,A,,TIG,2,48,EXP20231128-01
PCR1-002,A2,2,ALL,B,,TIG,2,48,EXP20231128-01
PCR1-003,A3,3,ALL,C,,TIG,2,48,EXP20231128-01
PCR1-004,A4,4,DES2,A,,TET,4,48,EXP20231128-01
PCR1-005,A5,5,DES2,B,,TET,4,48,EXP20231128-01
PCR1-006,A6,6,DES2,D,,TET,4,48,EXP20231128-01
PCR1-007,A7,7,DES2,A,,DOX,4,48,EXP20231128-01
PCR1-008,A8,8,DES2,B,,DOX,4,48,EXP20231128-01
PCR1-009,A9,9,DES2,D,,DOX,4,48,EXP20231128-01
PCR1-010,A10,10,DES2,A,,MIN,4,48,EXP20231128-01
PCR1-011,A11,11,DES2,B,,MIN,4,48,EXP20231128-01
PCR1-012,A12,12,DES2,D,,MIN,4,48,EXP20231128-01
PCR1-013,B1,13,EFF,A,,MIN,4,48,EXP20231128-01
PCR1-014,B2,14,EFF,B,,MIN,4,48,EXP20231128-01
PCR1-015,B3,15,EFF,C,,MIN,4,48,EXP20231128-01
PCR1-016,B4,16,RPP,A,,MIN,4,48,EXP20231128-01
PCR1-017,B5,17,RPP,B,,MIN,4,48,EXP20231128-01
PCR1-018,B6,18,RPP,D,,MIN,4,48,EXP20231128-01
PCR1-019,B7,19,ALL,A,,ATC,2,24,EXP20231128-01
PCR1-020,B8,20,ALL,B,,ATC,2,24,EXP20231128-01
PCR1-021,B9,21,ALL,C,,ATC,2,24,EXP20231128-01
PCR1-022,B10,22,ALL,A,,ATC,4,24,EXP20231128-01
PCR1-023,B11,23,ALL,B,,ATC,4,24,EXP20231128-01
PCR1-024,B12,24,ALL,C,,ATC,4,24,EXP20231128-01
PCR1-025,C1,25,ALL,A,,ATC,8,24,EXP20231128-01
PCR1-026,C2,26,ALL,B,,ATC,8,24,EXP20231128-01
PCR1-027,C3,27,ALL,C,,ATC,8,24,EXP20231128-01
PCR1-028,C4,28,ALL,A,,transf,TET,24,EXP20231128-01
PCR1-029,C5,29,ALL,B,,transf,TET,24,EXP20231128-01
PCR1-030,C6,30,ALL,C,,transf,TET,24,EXP20231128-01
PCR1-031,C7,31,ALL,A,,transf,DOX,24,EXP20231128-01
PCR1-032,C8,32,ALL,B,,transf,DOX,24,EXP20231128-01
PCR1-033,C9,33,ALL,C,,transf,DOX,24,EXP20231128-01
PCR1-034,C10,34,ALL,A,,transf,TIG,24,EXP20231128-01
PCR1-035,C11,35,ALL,B,,transf,TIG,24,EXP20231128-01
PCR1-036,C12,36,ALL,C,,transf,TIG,24,EXP20231128-01
PCR1-037,D1,37,ALL,A,,TET-ctrl,1,24,EXP20231128-01
