rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-014,B2,1,ALL,A,,TET,0.5,20,EXP20230921A
PCR1-015,B3,2,ALL,A,,TET,1,20,EXP20230921A
PCR1-016,B4,3,ALL,A,,TET,4,20,EXP20230921A
PCR1-017,B5,4,ALL,A,,DOX,0.5,20,EXP20230921A
PCR1-018,B6,5,ALL,A,,DOX,1,20,EXP20230921A
PCR1-019,B7,6,ALL,A,,DOX,4,20,EXP20230921A
PCR1-020,B8,7,ALL,A,,MIN,0.5,20,EXP20230921A
PCR1-021,B9,8,ALL,A,,MIN,1,20,EXP20230921A
PCR1-022,B10,9,ALL,A,,MIN,4,20,EXP20230921A
PCR1-026,C2,10,ALL,B,,TET,0.5,20,EXP20230921A
PCR1-027,C3,11,ALL,B,,TET,1,20,EXP20230921A
PCR1-028,C4,12,ALL,B,,TET,4,20,EXP20230921A
PCR1-029,C5,13,ALL,B,,DOX,0.5,20,EXP20230921A
PCR1-030,C6,14,ALL,B,,DOX,1,20,EXP20230921A
PCR1-031,C7,15,ALL,B,,DOX,4,20,EXP20230921A
PCR1-032,C8,16,ALL,B,,MIN,0.5,20,EXP20230921A
PCR1-033,C9,17,ALL,B,,MIN,1,20,EXP20230921A
PCR1-034,C10,18,ALL,B,,MIN,4,20,EXP20230921A
PCR1-038,D2,19,ALL,C,,TET,0.5,20,EXP20230921A
PCR1-039,D3,20,ALL,C,,TET,1,20,EXP20230921A
PCR1-040,D4,21,ALL,C,,TET,4,20,EXP20230921A
PCR1-041,D5,22,ALL,C,,DOX,0.5,20,EXP20230921A
PCR1-042,D6,23,ALL,C,,DOX,1,20,EXP20230921A
PCR1-043,D7,24,ALL,C,,DOX,4,20,EXP20230921A
PCR1-044,D8,25,ALL,C,,MIN,0.5,20,EXP20230921A
PCR1-045,D9,26,ALL,C,,MIN,1,20,EXP20230921A
PCR1-046,D10,27,ALL,C,,MIN,4,20,EXP20230921A
PCR1-050,E2,28,minDES2,A,,TET,0.5,20,EXP20230921A
PCR1-051,E3,29,minDES2,A,,TET,1,20,EXP20230921A
PCR1-052,E4,30,minDES2,A,,TET,4,20,EXP20230921A
PCR1-053,E5,31,minDES2,A,,DOX,0.5,20,EXP20230921A
PCR1-054,E6,32,minDES2,A,,DOX,1,20,EXP20230921A
PCR1-055,E7,33,minDES2,A,,DOX,4,20,EXP20230921A
PCR1-056,E8,34,minDES2,A,,MIN,0.5,20,EXP20230921A
PCR1-057,E9,35,minDES2,A,,MIN,1,20,EXP20230921A
PCR1-058,E10,36,minDES2,A,,MIN,4,20,EXP20230921A
PCR1-062,F2,37,minDES2,B,,TET,0.5,20,EXP20230921A
PCR1-063,F3,38,minDES2,B,,TET,1,20,EXP20230921A
PCR1-064,F4,39,minDES2,B,,TET,4,20,EXP20230921A
PCR1-065,F5,40,minDES2,B,,DOX,0.5,20,EXP20230921A
PCR1-066,F6,41,minDES2,B,,DOX,1,20,EXP20230921A
PCR1-067,F7,42,minDES2,B,,DOX,4,20,EXP20230921A
PCR1-068,F8,43,minDES2,B,,MIN,0.5,20,EXP20230921A
PCR1-069,F9,44,minDES2,B,,MIN,1,20,EXP20230921A
PCR1-070,F10,45,minDES2,B,,MIN,4,20,EXP20230921A
PCR1-074,G2,46,minDES2,D,,TET,0.5,20,EXP20230921A
PCR1-075,G3,47,minDES2,D,,TET,1,20,EXP20230921A
PCR1-076,G4,48,minDES2,D,,TET,4,20,EXP20230921A
PCR1-077,G5,49,minDES2,D,,DOX,0.5,20,EXP20230921A
PCR1-078,G6,50,minDES2,D,,DOX,1,20,EXP20230921A
PCR1-079,G7,51,minDES2,D,,DOX,4,20,EXP20230921A
PCR1-080,G8,52,minDES2,D,,MIN,0.5,20,EXP20230921A
PCR1-081,G9,53,minDES2,D,,MIN,1,20,EXP20230921A
PCR1-082,G10,54,minDES2,D,,MIN,4,20,EXP20230921A
