rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-013,B1,1,minDES2,A,,TIG,0.25,20,EXP20230927
PCR1-014,B2,2,EFF,A,,TET,0.5,20,EXP20230927
PCR1-015,B3,3,EFF,A,,TET,1,20,EXP20230927
PCR1-016,B4,4,EFF,A,,TET,4,20,EXP20230927
PCR1-017,B5,5,EFF,A,,DOX,0.5,20,EXP20230927
PCR1-018,B6,6,EFF,A,,DOX,1,20,EXP20230927
PCR1-019,B7,7,EFF,A,,DOX,4,20,EXP20230927
PCR1-020,B8,8,EFF,A,,MIN,0.5,20,EXP20230927
PCR1-021,B9,9,EFF,A,,MIN,1,20,EXP20230927
PCR1-022,B10,10,EFF,A,,MIN,4,20,EXP20230927
PCR1-023,B11,11,minDES2,A,,TIG,0.5,20,EXP20230927
PCR1-024,B12,12,minDES2,A,,TIG,2,20,EXP20230927
PCR1-025,C1,13,minDES2,B,,TIG,0.25,20,EXP20230927
PCR1-026,C2,14,EFF,B,,TET,0.5,20,EXP20230927
PCR1-027,C3,15,EFF,B,,TET,1,20,EXP20230927
PCR1-028,C4,16,EFF,B,,TET,4,20,EXP20230927
PCR1-029,C5,17,EFF,B,,DOX,0.5,20,EXP20230927
PCR1-030,C6,18,EFF,B,,DOX,1,20,EXP20230927
PCR1-031,C7,19,EFF,B,,DOX,4,20,EXP20230927
PCR1-032,C8,20,EFF,B,,MIN,0.5,20,EXP20230927
PCR1-033,C9,21,EFF,B,,MIN,1,20,EXP20230927
PCR1-034,C10,22,EFF,B,,MIN,4,20,EXP20230927
PCR1-035,C11,23,minDES2,B,,TIG,0.5,20,EXP20230927
PCR1-036,C12,24,minDES2,B,,TIG,2,20,EXP20230927
PCR1-037,D1,25,minDES2,D,,TIG,0.25,20,EXP20230927
PCR1-038,D2,26,EFF,C,,TET,0.5,20,EXP20230927
PCR1-039,D3,27,EFF,C,,TET,1,20,EXP20230927
PCR1-040,D4,28,EFF,C,,TET,4,20,EXP20230927
PCR1-041,D5,29,EFF,C,,DOX,0.5,20,EXP20230927
PCR1-042,D6,30,EFF,C,,DOX,1,20,EXP20230927
PCR1-043,D7,31,EFF,C,,DOX,4,20,EXP20230927
PCR1-044,D8,32,EFF,C,,MIN,0.5,20,EXP20230927
PCR1-045,D9,33,EFF,C,,MIN,1,20,EXP20230927
PCR1-046,D10,34,EFF,C,,MIN,4,20,EXP20230927
PCR1-047,D11,35,minDES2,D,,TIG,0.5,20,EXP20230927
PCR1-048,D12,36,minDES2,D,,TIG,2,20,EXP20230927
PCR1-049,E1,37,DES1,B,,TIG,0.25,20,EXP20230927
PCR1-050,E2,38,RPP,A,,TET,0.5,20,EXP20230927
PCR1-051,E3,39,RPP,A,,TET,1,20,EXP20230927
PCR1-052,E4,40,RPP,A,,TET,4,20,EXP20230927
PCR1-053,E5,41,RPP,A,,DOX,0.5,20,EXP20230927
PCR1-054,E6,42,RPP,A,,DOX,1,20,EXP20230927
